n, cycles
32, 285734
32, 286394
32, 282300
32, 284620
32, 283480
32, 285294
32, 281984
32, 283908
32, 282074
32, 280864
32, 283984
32, 283814
32, 285120
32, 283176
32, 283862
32, 281922
32, 285790
32, 284046
32, 285294
32, 284600
32, 281674
32, 290746
32, 281794
32, 282964
32, 284042
32, 284916
32, 281246
32, 283970
32, 283872
32, 282798
64, 1501768
64, 1480392
64, 1468510
64, 1476596
64, 1471902
64, 1469084
64, 1473962
64, 1471406
64, 1473242
64, 1485216
64, 1480024
64, 1874738
64, 1475722
64, 1479034
64, 1482872
64, 1476682
64, 1477594
64, 1482012
64, 1476292
64, 1469232
64, 1471922
64, 1468704
64, 1469746
64, 1467022
64, 1470146
64, 1470656
64, 1480250
64, 1476672
64, 1481804
64, 1536552
128, 8643652
128, 8650870
128, 8631850
128, 8623904
128, 8645808
128, 8596250
128, 8651890
128, 8597726
128, 8594394
128, 8596990
128, 8614144
128, 8609456
128, 8603472
128, 8636178
128, 8629444
128, 8595628
128, 8582754
128, 8598688
128, 8623876
128, 8586108
128, 8628268
128, 8628538
128, 8614980
128, 8616112
128, 8666984
128, 8705348
128, 8685402
128, 8635502
128, 8622092
128, 8588256
256, 56459832
256, 55781838
256, 55688762
256, 55725944
256, 55845036
256, 55824022
256, 56219176
256, 55798196
256, 55789218
256, 55807230
256, 55941940
256, 55775930
256, 56136552
256, 55840032
256, 55843084
256, 55804630
256, 56049344
256, 55886174
256, 56238062
256, 55863580
256, 55762656
256, 55850514
256, 56069336
256, 55864834
256, 55771436
256, 55846490
256, 55470876
256, 55430730
256, 55376978
256, 55928414
512, 385728978
512, 385112520
512, 385210376
1024, 2843080194
1024, 2831930796
1024, 2831394218
2048, 21938631328
2048, 21902570014
2048, 21950464442
4096, 216535025226
4096, 216337659458
4096, 216345819156
8192, 1947046055872
8192, 1945291432580
8192, 1944440181008
