n, cycles
32, 291410
32, 296984
32, 288006
32, 288686
32, 287774
32, 287398
32, 285530
32, 289660
32, 287024
32, 284802
32, 288978
32, 287746
32, 289506
32, 289082
32, 287880
32, 286122
32, 289836
32, 289724
32, 291314
32, 289066
32, 286742
32, 289382
32, 285776
32, 287324
32, 288014
32, 288096
32, 286860
32, 288218
32, 288530
32, 285850
64, 1509104
64, 1559584
64, 1510542
64, 1497672
64, 1495422
64, 1494694
64, 1495694
64, 1498302
64, 1496618
64, 1496448
64, 1513834
64, 1499954
64, 1504076
64, 1504032
64, 1506398
64, 1501282
64, 1502418
64, 1505456
64, 1508240
64, 1498390
64, 1507782
64, 1494398
64, 1492264
64, 1505436
64, 1496620
64, 1502740
64, 1490560
64, 1524996
64, 1494656
64, 1496548
128, 8700480
128, 8695350
128, 8656596
128, 8659582
128, 8667104
128, 8665566
128, 8699280
128, 8649220
128, 8649266
128, 8642610
128, 8645820
128, 8632990
128, 8676338
128, 8670042
128, 8664550
128, 8656868
128, 8646142
128, 8637570
128, 8645838
128, 8620520
128, 8630722
128, 8652572
128, 8633420
128, 8653912
128, 8652224
128, 8629926
128, 8617936
128, 8648902
128, 8610956
128, 8618660
256, 56429712
256, 56208472
256, 56204052
256, 56154052
256, 56238908
256, 56325552
256, 56317878
256, 56205084
256, 56220796
256, 56223754
256, 56320320
256, 56389852
256, 56246316
256, 56255362
256, 56305486
256, 56263608
256, 56312572
256, 56299774
256, 56195570
256, 56273548
256, 56347178
256, 56386340
256, 56323896
256, 56259486
256, 56253784
256, 56268870
256, 56274448
256, 56256504
256, 56276330
256, 56276082
512, 385682914
512, 384849318
512, 384889360
1024, 2815912366
1024, 2812457632
1024, 2811314828
2048, 22015462820
2048, 21943713582
2048, 21951031402
4096, 221686584398
4096, 221510178652
4096, 221455555346
8192, 1943930744418
8192, 1944552427696
8192, 1944135988058
