n, cycles
32, 228446
32, 224478
32, 259114
32, 223434
32, 224180
32, 223298
32, 224742
32, 223864
32, 222208
32, 222920
32, 225212
32, 221850
32, 222510
32, 223968
32, 224088
32, 223294
32, 222758
32, 225730
32, 221868
32, 224918
32, 221612
32, 222566
32, 224686
32, 223320
32, 223264
32, 224956
32, 223472
32, 222846
32, 221962
32, 223180
64, 1222958
64, 1215608
64, 1212338
64, 1213014
64, 1208474
64, 1209416
64, 1209094
64, 1215788
64, 1206450
64, 1216882
64, 1207698
64, 1209544
64, 1209756
64, 1206892
64, 1214498
64, 1208186
64, 1210206
64, 1208152
64, 1207002
64, 1216064
64, 1212590
64, 1206896
64, 1208186
64, 1209938
64, 1210898
64, 1210842
64, 1210452
64, 1209834
64, 1208380
64, 1210540
128, 7300472
128, 7251594
128, 7228464
128, 7228022
128, 7405716
128, 7230434
128, 7233996
128, 7229218
128, 7401008
128, 7239346
128, 7255632
128, 7232202
128, 7241980
128, 7397262
128, 7240472
128, 7246156
128, 7252716
128, 7427408
128, 7241764
128, 7255034
128, 7238056
128, 7247474
128, 7389402
128, 7255706
128, 7250266
128, 7251026
128, 7429688
128, 7264084
128, 7272014
128, 7248526
256, 50219596
256, 49896666
256, 49907942
256, 49934904
256, 49929586
256, 49935690
256, 49964404
256, 49849182
256, 50026286
256, 49885618
256, 49914016
256, 49911200
256, 49996678
256, 49988528
256, 50027516
256, 49909882
256, 49915816
256, 49821712
256, 49984414
256, 50108560
256, 50014448
256, 49934032
256, 49899108
256, 49921074
256, 50034168
256, 49898494
256, 49854412
256, 49869064
256, 50381432
256, 49896988
512, 375968504
512, 373770128
512, 373326206
1024, 2710086368
1024, 2712283560
1024, 2702664870
2048, 21743341434
2048, 21946895172
2048, 21834835346
4096, 221372850294
4096, 222085117802
4096, 221934324614
8192, 2072705549026
8192, 2077591277786
8192, 2073683191458
