n, cycles
32, 132732
32, 130112
32, 128296
32, 128254
32, 127896
32, 127176
32, 127272
32, 128656
32, 128330
32, 126002
32, 128908
32, 127432
32, 127712
32, 128892
32, 126928
32, 126386
32, 126528
32, 129426
32, 126492
32, 128684
32, 127074
32, 126514
32, 128806
32, 127900
32, 128486
32, 128146
32, 127408
32, 127110
32, 127748
32, 128072
64, 624518
64, 648014
64, 611788
64, 613058
64, 610026
64, 608984
64, 610094
64, 615614
64, 608604
64, 612394
64, 608294
64, 613464
64, 607412
64, 607668
64, 615306
64, 613054
64, 607890
64, 609904
64, 610826
64, 611774
64, 610192
64, 606628
64, 604366
64, 608522
64, 608502
64, 608646
64, 608188
64, 611008
64, 607786
64, 607654
128, 2788844
128, 2748120
128, 2753194
128, 2745810
128, 2740888
128, 2736342
128, 2743364
128, 2727616
128, 2742236
128, 2742166
128, 2746894
128, 2742130
128, 2745774
128, 2740346
128, 2730340
128, 2741934
128, 2740934
128, 2739644
128, 2742894
128, 2745752
128, 2734970
128, 2748650
128, 2745690
128, 2743652
128, 2734578
128, 2727792
128, 2742378
128, 2753600
128, 2732648
128, 2735252
256, 14941716
256, 14969354
256, 14884280
256, 14903672
256, 14930492
256, 14865692
256, 14852496
256, 14882180
256, 14840754
256, 14879198
256, 14833926
256, 15004374
256, 14898982
256, 14857016
256, 14980204
256, 14871530
256, 14887774
256, 14961544
256, 14857408
256, 14855234
256, 14924308
256, 14981214
256, 14928266
256, 14980494
256, 14940198
256, 14830918
256, 14842818
256, 14956100
256, 15011658
256, 14858676
512, 81136686
512, 79387032
512, 79433678
1024, 516790278
1024, 510973836
1024, 510745576
2048, 3893112756
2048, 3884753452
2048, 3862098260
4096, 34045338432
4096, 33955451598
4096, 34061872352
8192, 301202384238
8192, 300804951438
8192, 300763933314
