remaining_runtime,build_heap,insert,l2-norm,insert_up,insert_down,shuffle,utility,col_mean,get_knn_inner
496450,8635620,49496889672,25294292034,102452720,1401024280,1871290958,42016421,99499213,8761908914
454547,8729303,49103819970,25266531727,101968886,1395560472,1870983724,41829393,99631456,8751326006
486016,8449322,49216685667,25275675106,100801442,1394892682,1870923563,42003878,100757676,8726599418
515858,8997123,50294457019,25428574036,109358179,1420810361,1876748394,42407580,98471708,8803825838
462437,8730602,49128063903,25294541292,101413675,1398461743,1871724891,42152394,99905839,8764630513
462648,8653051,49100842666,25269665200,100641342,1391364470,1868767813,41943969,99002526,8752386837
479345,8582939,49127717985,25273863706,100192702,1394185081,1871321821,41979132,100184424,8751025771
496748,8982466,49265218266,25437138110,101342070,1401361646,1877701801,42340404,99727668,8783091910
467605,8721219,49126029021,25283613423,107043156,1399447024,1871648857,42002751,99229796,8766990373
476466,8764466,48843265471,25265096246,100619029,1392559872,1869603944,41837210,100090122,8773584765
506420,8798790,48615988414,25300793667,100480823,1393528922,1870692627,42159276,101862719,8744609942
476381,9106564,49517176759,25464260633,102114689,1404757311,1877309349,42346132,100384887,8821713627
477299,8922366,49507684376,25293867078,100973492,1398276410,1870231323,42104159,99413548,8762865209
471422,8924071,49120814658,25450234988,100894347,1403127532,1878164915,42345151,100802949,8776010933
469540,8766203,48936774580,25272575046,101976547,1395594279,1871887283,41944322,100393262,8809478448
455511,8742743,49294799944,25285765735,101751805,1398609163,1872075909,42080747,98629565,8757498992
434473,8756110,49072082425,25436946615,100845700,1398153798,1877684056,42249212,100106605,8757017317
467670,9942763,49139128759,25291909490,105005349,1396916158,1870967923,42066350,100498675,8806248160
460679,8781956,49203746021,25281748334,100958207,1398395090,1870587459,42161593,101074611,8751630029
504291,8858740,48493703546,25297004894,105177199,1399411511,1871288481,42102770,100114666,8774335375
491824,8749549,49571071916,25256692054,100421962,1395950070,1877373874,42214241,99891054,8783885951
483011,8616019,49639734066,25261478500,104701263,1402465807,1869013357,42274699,99064593,8876400028
495930,8604422,48825649107,25289767954,100825794,1393320644,1871058897,42071826,101105862,8743646984
475872,8864503,49710738406,25285764328,110987250,1412734909,1872747305,42061526,98563178,8808840906
505375,8661050,49469573861,25237565008,101050793,1397945513,1867870738,41933376,97271528,8758389178
482503,8876704,49546288421,25307905451,112343098,1410148368,1875513240,42052928,101475778,8782516162
425706,8752139,49260894858,25257287836,101105932,1394917382,1870703650,42033470,98931040,8782138424
449012,8665785,49141575289,25262660607,101205527,1396691652,1869245849,42071443,99402358,8755882199
457284,8905853,50138497646,25422638241,114027159,1422074985,1878291307,42391960,98492913,8939512550
