remaining_runtime,build_heap,insert,l2-norm,insert_up,insert_down,shuffle,utility,col_mean,get_knn_inner
721652,21210474,263815857808,265837467659,2167924657,33373375381,1958227453,57656435,157432308,9536990781
705478,38602838,265796055751,265625067327,2152722171,33143679846,1958155575,56930455,150548016,9427268976
708438,37433096,265318581834,265434468438,2150983681,33089488571,1956601167,56826072,149816675,9404130421
788215,17902336,264570333262,266590169851,2168630254,33362145166,1959746413,55379462,157879311,9310775767
