remaining_runtime,build_heap,insert,l2-norm,insert_up,insert_down,shuffle,utility,col_mean,get_knn_inner
522551,2105883,23397078917,47731471303,96530049,1387988548,1873724228,41176494,100142742,141315919
485921,2488648,22460616789,47464683080,92627576,1312728666,1866846952,40750833,98127727,148005830
452360,2107020,21825799769,47458417252,91627095,1310784940,1867858143,40803315,97753693,139220376
516210,2107168,23229490548,47509271178,95853471,1319355970,1872908926,41747092,99001872,155345933
473182,2464950,22471368015,47897800852,93285850,1319667738,1879133811,41107652,100668845,153554290
544090,2151904,22581576353,47518065302,93820712,1314393087,1871593182,40739947,99378487,145616302
477354,2127680,23548587871,47587996925,97026578,1321005630,1874498946,40986797,97326037,158339262
566635,2502440,22364628647,47506250582,92228837,1312541275,1870367642,40795402,99738850,151662660
464497,2122406,22669941903,47575390922,93877854,1316761544,1874694187,40971634,99501145,156838842
490789,2119729,23009849661,47593491020,94919712,1318547885,1875686523,40869043,97851104,154254089
491720,2141621,22485683821,47541231445,93990135,1316174774,1868156980,40799424,99704618,141725407
523826,2163493,22698525488,47624866716,94029552,1314567780,1872691870,40791604,99353077,156966891
480105,2116879,22076404949,47490958285,93125806,1312729781,1868470783,40822319,101112834,142952696
496585,2132811,22508822314,47703610075,93928449,1321712754,1875561207,40994689,100358179,145569779
485081,2128878,22718356546,47540837959,94219695,1315114927,1870990081,41004445,100070583,155365561
527403,2179025,22305049727,47543820948,93081185,1314193180,1870852901,40876546,100525719,143704861
524873,2146690,22429692605,47541979504,93246798,1316588304,1870461782,40850670,99516710,157837986
511108,2123164,23295776407,47602323221,96549952,1319211504,1874588981,40914065,99278061,157942160
498653,2140427,22195894212,47595970611,93247711,1314337632,1869531512,41022158,100392444,142826356
523996,2123678,22337059330,47513911239,94088899,1313901751,1868063790,40842949,99129508,142392578
529319,2154970,22714587050,47563129571,94230366,1315644291,1873084367,40925818,99336864,155989364
510479,2128664,21947974943,47544798065,91482082,1311989181,1869161571,41038964,100869831,143034110
447095,2165425,22556730376,47497715184,94146334,1313689728,1868362694,40772646,100237882,141947905
517735,2106480,22712308934,47467306340,94217101,1313608257,1869179052,40682317,98641727,154995188
468370,2104670,21955693323,47473896513,91356551,1311130725,1867719059,40842153,99387308,142251356
473438,2116685,22935192822,47460813315,94797583,1315220502,1870252549,40745495,98472996,151703778
503723,2118332,22295109733,47439862978,92454749,1311423219,1868966785,40720276,98826698,148416791
472554,2131850,22454336321,47481480671,93806199,1314977215,1866920409,40689830,99453791,141973206
460017,2116437,22785368494,47444638883,94780503,1313839712,1868816117,40645064,98671977,156257526
423590,2122282,21596815466,47462961317,90548635,1309923425,1867817348,40658392,98655006,141343789
