n, cycles
32, 6886320 
32, 6819668 
32, 6847652 
32, 6876344 
32, 6819544 
32, 6846900 
32, 6959686 
32, 6898348 
32, 6840474 
32, 6838016 
32, 6782546 
32, 6838606 
32, 6890752 
32, 6893674 
32, 6931074 
32, 6981412 
32, 6935352 
32, 6904594 
32, 6881072 
32, 6978774 
32, 6870100 
32, 6924936 
32, 6904258 
32, 6883172 
32, 7106476 
32, 6912508 
32, 6879344 
32, 6921780 
32, 6839592 
32, 6846506 
64, 36713764 
64, 36859782 
64, 36684988 
64, 36929508 
64, 36592366 
64, 36876118 
64, 36605046 
64, 36868456 
64, 36628250 
64, 36793980 
64, 36513636 
64, 36785828 
64, 36664320 
64, 36807838 
64, 36554188 
64, 36697980 
64, 36552764 
64, 36781510 
64, 36640068 
64, 37004874 
64, 36517906 
64, 36926228 
64, 36549428 
64, 36898506 
64, 36490136 
64, 37056086 
64, 36639014 
64, 36948814 
64, 36484952 
64, 37047404 
128, 243885874 
128, 243795056 
128, 244000100 
128, 243864070 
128, 243548294 
128, 243784656 
128, 243639516 
128, 243523784 
128, 243480542 
128, 244250590 
128, 243541096 
128, 243536662 
128, 243638550 
128, 244064144 
128, 246499948 
128, 243499648 
128, 243669716 
128, 243548872 
128, 243830894 
128, 244140690 
128, 243871360 
128, 244092546 
128, 243887780 
128, 243540864 
128, 243983584 
128, 243848836 
128, 243419806 
128, 244348216 
128, 243723244 
128, 247172334 
256, 1762341714 
256, 1762792894 
256, 1764650438 
256, 1763179312 
256, 1763036820 
256, 1760252440 
256, 1763705778 
256, 1760334306 
256, 1762477892 
256, 1761454048 
256, 1764885224 
256, 1762965346 
256, 1763578636 
256, 1762237590 
256, 1764587068 
256, 1764124612 
256, 1809284266 
256, 1783080930 
256, 1829759442 
256, 1772416704 
256, 1816962524 
256, 1770962234 
256, 1812506266 
256, 1762762848 
256, 1761473456 
256, 1762458182 
256, 1790452628 
256, 1779941496 
256, 1766105894 
256, 1763525552 
512, 14380700344 
512, 14216070070 
512, 14118672300 
1024, 107958577628 
1024, 106424617074 
1024, 106674786716 
2048, 902057900236 
2048, 917151688730 
2048, 884284117316 
