n, cycles
32, 9253950 
32, 9063240 
32, 9186228 
32, 9074746 
32, 9056272 
32, 9176384 
32, 9155130 
32, 9093296 
32, 9129554 
32, 9121130 
32, 9158380 
32, 9074172 
32, 9129380 
32, 9166978 
32, 9137532 
32, 9118324 
32, 9140318 
32, 9148744 
32, 9129084 
32, 9079828 
32, 9053362 
32, 9117194 
32, 9115418 
32, 9058668 
32, 9150544 
32, 9123274 
32, 9092512 
32, 9145138 
32, 9101130 
32, 9081548 
64, 62982704 
64, 62911900 
64, 63091514 
64, 63082794 
64, 62878934 
64, 62974566 
64, 63038002 
64, 63175586 
64, 62914476 
64, 62737720 
64, 62941010 
64, 62856052 
64, 62914818 
64, 63011300 
64, 63205608 
64, 62617440 
64, 62967352 
64, 62796244 
64, 65212440 
64, 62981392 
64, 62942842 
64, 63117088 
64, 62804174 
64, 62869854 
64, 62866780 
64, 62924456 
64, 62872876 
64, 62935576 
64, 62827082 
64, 62865416 
128, 492120204 
128, 492874764 
128, 491582358 
128, 491444936 
128, 492096890 
128, 491837922 
128, 490617992 
128, 491230196 
128, 491144326 
128, 492146504 
128, 490918004 
128, 490843968 
128, 491498660 
128, 491401008 
128, 491406636 
128, 491235478 
128, 491312898 
128, 491243148 
128, 492455084 
128, 491907320 
128, 491736892 
128, 491576886 
128, 491539580 
128, 490755928 
128, 491881048 
128, 491299180 
128, 491610994 
128, 496563652 
128, 491597184 
128, 491445510 
256, 4302346900 
256, 4310982182 
256, 4314631308 
256, 4318823668 
256, 4312996430 
256, 4308524342 
256, 4321812942 
256, 4299437552 
256, 4320501622 
256, 4327839400 
256, 4335751514 
256, 4325527776 
256, 4343638828 
256, 4311138528 
256, 4304762460 
256, 4318924490 
256, 4315399464 
256, 4303521430 
256, 4323211704 
256, 4319858302 
256, 4305325366 
256, 4304080686 
256, 4322093152 
256, 4312990484 
256, 4322407170 
256, 4312929672 
256, 4321095978 
256, 4308780886 
256, 4297960362 
256, 4302546426 
512, 36661102450 
512, 36399906680 
512, 36224119376 
1024, 300158347268 
1024, 296715615698 
1024, 297152337070 
2048, 2419417162850 
2048, 2421800400316 
2048, 2403546734758 
