n, cycles
32, 140392
32, 137638
32, 136780
32, 137082
32, 136300
32, 136542
32, 134854
32, 136286
32, 135108
32, 136360
32, 135782
32, 135602
32, 135710
32, 135232
32, 136488
32, 136408
32, 135830
32, 138264
32, 134308
32, 135878
32, 135278
32, 136384
32, 135882
32, 137302
32, 135534
32, 136718
32, 135462
32, 136000
32, 135042
32, 135918
64, 997730
64, 985672
64, 985430
64, 985412
64, 981376
64, 982924
64, 984932
64, 996508
64, 985362
64, 986724
64, 981152
64, 980232
64, 981304
64, 980628
64, 983474
64, 983438
64, 979762
64, 986094
64, 984132
64, 993822
64, 980062
64, 984562
64, 982124
64, 982248
64, 984650
64, 984636
64, 980990
64, 984062
64, 981426
64, 982018
128, 7209090
128, 7119178
128, 7221568
128, 7119288
128, 7102232
128, 7110742
128, 7111490
128, 7124794
128, 7118034
128, 7112154
128, 7106802
128, 7116464
128, 7113622
128, 7110136
128, 7117040
128, 7105476
128, 7102332
128, 7096340
128, 7108870
128, 7122112
128, 7127900
128, 7102792
128, 7111350
128, 7116368
128, 7085666
128, 7136624
128, 7113158
128, 7116550
128, 7106144
128, 7107180
256, 63735630
256, 63597934
256, 63605594
256, 63606482
256, 63612712
256, 63575910
256, 63569570
256, 63574962
256, 63555714
256, 63603238
256, 63583518
256, 63586584
256, 63598960
256, 63622584
256, 63631790
256, 63616040
256, 63615044
256, 63667168
256, 63596272
256, 63560832
256, 63643604
256, 63669230
256, 63591108
256, 63578360
256, 63608804
256, 63580150
256, 63610844
256, 63584656
256, 63598332
256, 63564746
512, 526642360
512, 525466720
512, 525458068
1024, 4275848000
1024, 4271751286
1024, 4272449098
2048, 34418691650
2048, 34414292044
2048, 34407073280
4096, 276347587274
4096, 276258391786
4096, 276247272660
8192, 2209895693360
8192, 2209795086398
8192, 2209385413438
