n, cycles
32, 275262
32, 270890
32, 265748
32, 264662
32, 265666
32, 264832
32, 264336
32, 263546
32, 269438
32, 261126
32, 263304
32, 264296
32, 264138
32, 264502
32, 264006
32, 262456
32, 263332
32, 262196
32, 263326
32, 263458
32, 263256
32, 262528
32, 264252
32, 262382
32, 263702
32, 263278
32, 262222
32, 262868
32, 262192
32, 260844
64, 2161530
64, 2154066
64, 2148980
64, 2142640
64, 2146538
64, 2140788
64, 2141966
64, 2139684
64, 2136658
64, 2150912
64, 2149854
64, 2140904
64, 2141298
64, 2137082
64, 2143026
64, 2139336
64, 2143498
64, 2142920
64, 2141618
64, 2137900
64, 2138292
64, 2134304
64, 2149600
64, 2135416
64, 2135332
64, 2143902
64, 2134316
64, 2137208
64, 2138426
64, 2136172
128, 15308514
128, 15232476
128, 15249494
128, 15214444
128, 15220548
128, 15208126
128, 15197654
128, 15183462
128, 15232890
128, 15221124
128, 15215138
128, 15203764
128, 15189976
128, 15194526
128, 15210848
128, 15217142
128, 15211624
128, 15202740
128, 15242188
128, 15224626
128, 15354810
128, 15205358
128, 15207590
128, 15203230
128, 15219040
128, 15252418
128, 15207040
128, 15234642
128, 15201506
128, 15205848
256, 113495666
256, 113273296
256, 113291352
256, 113290568
256, 113319400
256, 113284418
256, 113244348
256, 113163062
256, 113351888
256, 113175802
256, 113090020
256, 113357552
256, 113172776
256, 113212976
256, 113210700
256, 113203130
256, 113169896
256, 113184598
256, 113295534
256, 113116210
256, 113150984
256, 113131728
256, 113136958
256, 113299122
256, 113151272
256, 113192420
256, 113165206
256, 113190968
256, 113212940
256, 113163662
512, 868668498
512, 867322016
512, 867265838
1024, 6826407666
1024, 6821970052
1024, 6778851714
2048, 53994162944
2048, 53992448198
2048, 53956051862
4096, 477581224778
4096, 477382487324
4096, 477143867842
8192, 4007243581576
8192, 4006658016258
8192, 4007812640412
