n, cycles
32, 151834
32, 146684
32, 172074
32, 146426
32, 147952
32, 146126
32, 144044
32, 146598
32, 147192
32, 145364
32, 149114
32, 143788
32, 146136
32, 146232
32, 146744
32, 141398
32, 142318
32, 148628
32, 141306
32, 144930
32, 195190
32, 144144
32, 143680
32, 142676
32, 142148
32, 144060
32, 143638
32, 144044
32, 143046
32, 142272
64, 943082
64, 937532
64, 941744
64, 931074
64, 934498
64, 932688
64, 927440
64, 932608
64, 934054
64, 934532
64, 934870
64, 929630
64, 921980
64, 930358
64, 934854
64, 933044
64, 931956
64, 934938
64, 931158
64, 937160
64, 935088
64, 919368
64, 932612
64, 926916
64, 931922
64, 934720
64, 937928
64, 936354
64, 929596
64, 931070
128, 6451458
128, 8449800
128, 6530216
128, 6404016
128, 6428778
128, 6489792
128, 8369862
128, 6705176
128, 7447026
128, 6576672
128, 6445616
128, 6394098
128, 6433436
128, 6314594
128, 6238182
128, 6229824
128, 6359512
128, 6395238
128, 6437082
128, 6497650
128, 6515800
128, 6691664
128, 7715264
128, 6584366
128, 6558992
128, 6502068
128, 6538298
128, 6548678
128, 6472782
128, 6508116
256, 45613240
256, 45127942
256, 44651658
256, 44854206
256, 44558026
256, 44171212
256, 44971718
256, 45681732
256, 45533514
256, 46263714
256, 45886130
256, 45392938
256, 45357958
256, 45327800
256, 44865716
256, 44364882
256, 44353540
256, 44934180
256, 46056240
256, 45721778
256, 45418646
256, 45468596
256, 44827486
256, 44958196
256, 44677470
256, 44783660
256, 45209158
256, 44921022
256, 44797010
256, 44386952
512, 344448422
512, 340218572
512, 337033742
1024, 2594162424
1024, 2578794328
1024, 2577028198
2048, 20215181506
2048, 20331921774
2048, 20227279868
4096, 160532872324
4096, 159818894222
4096, 159103735486
8192, 1272852191856
8192, 1270250871078
8192, 1273812337914
