n, cycles
32, 11745344 
32, 11803380 
32, 11736694 
32, 11685696 
32, 11599210 
32, 11658154 
32, 11702956 
32, 11774192 
32, 11793734 
32, 11734490 
32, 11763926 
32, 11802050 
32, 11717102 
32, 11600024 
32, 11685402 
32, 11783722 
32, 11777704 
32, 11706024 
32, 11764268 
32, 11835372 
32, 11774792 
32, 11837194 
32, 11895200 
32, 11841314 
32, 11835842 
32, 11736972 
32, 11796422 
32, 11762144 
32, 11787836 
32, 11666686 
64, 57413318 
64, 57913206 
64, 57777842 
64, 57626570 
64, 57784356 
64, 57685924 
64, 57996676 
64, 57934338 
64, 57687892 
64, 58045964 
64, 58025200 
64, 57994548 
64, 57538006 
64, 57631230 
64, 57685184 
64, 57748922 
64, 57842088 
64, 57688100 
64, 57726596 
64, 58106804 
64, 57950266 
64, 58090272 
64, 57746564 
64, 57693470 
64, 57550248 
64, 57748010 
64, 58380896 
64, 57555158 
64, 57726372 
64, 57469816 
128, 319837182 
128, 319429252 
128, 320438544 
128, 319055672 
128, 319542860 
128, 318703028 
128, 319865796 
128, 318692012 
128, 319753592 
128, 319397204 
128, 319705578 
128, 318840858 
128, 319913430 
128, 318370502 
128, 321091762 
128, 318682762 
128, 320043876 
128, 318308314 
128, 319768812 
128, 319702116 
128, 319612042 
128, 318210478 
128, 320248290 
128, 319579110 
128, 319780664 
128, 319085756 
128, 320446944 
128, 319001238 
128, 320104690 
128, 318750050 
256, 2005481886 
256, 2007768204 
256, 2002928988 
256, 2008376782 
256, 2004202038 
256, 2006708956 
256, 2004251290 
256, 2009754244 
256, 2005949620 
256, 2009372486 
256, 2005222166 
256, 2013616814 
256, 2003273012 
256, 2016972698 
256, 2004797850 
256, 2007069576 
256, 2005490922 
256, 2008565784 
256, 2019210696 
256, 2068984328 
256, 2067531274 
256, 2129220574 
256, 2045032708 
256, 2036162224 
256, 2015466552 
256, 2030311340 
256, 2093823448 
256, 2153832096 
256, 2080918494 
256, 2021831066 
512, 14226016096 
512, 14313463706 
512, 14199772416 
1024, 107542163072 
1024, 107838257750 
1024, 106687552032 
2048, 847423586502 
2048, 852658740240 
2048, 853823102682 
