n, cycles
32, 10221874 
32, 10179246 
32, 10167934 
32, 10176574 
32, 10201464 
32, 10180168 
32, 10193914 
32, 10152410 
32, 10238236 
32, 10207920 
32, 10179058 
32, 10220526 
32, 10220748 
32, 10155792 
32, 10154602 
32, 10279006 
32, 10239684 
32, 10201810 
32, 10238594 
32, 10256028 
32, 10212858 
32, 10224420 
32, 10234586 
32, 10234834 
32, 10180618 
32, 10170458 
32, 10214954 
32, 10199630 
32, 10174886 
32, 10219062 
64, 38077950 
64, 38243596 
64, 38262626 
64, 38208900 
64, 37918460 
64, 37985592 
64, 38061542 
64, 38234632 
64, 37986264 
64, 38118612 
64, 38447210 
64, 38489754 
64, 38045308 
64, 38000198 
64, 37922410 
64, 38063848 
64, 37869142 
64, 37855534 
64, 38179450 
64, 38048580 
64, 37914366 
64, 38124360 
64, 37981860 
64, 37989482 
64, 37997750 
64, 38123604 
64, 38070632 
64, 38052130 
64, 38001608 
64, 38124776 
128, 161285212 
128, 158865010 
128, 161508588 
128, 158477698 
128, 161654786 
128, 159300644 
128, 161312132 
128, 158917780 
128, 161300272 
128, 159400046 
128, 162904336 
128, 159028884 
128, 161329408 
128, 158722720 
128, 161294772 
128, 158609726 
128, 161326062 
128, 159088342 
128, 161889566 
128, 158893126 
128, 161618844 
128, 159013846 
128, 162126852 
128, 159642048 
128, 170007532 
128, 159245352 
128, 162000870 
128, 159173298 
128, 161865974 
128, 159446130 
256, 727172798 
256, 729366052 
256, 723266566 
256, 729871778 
256, 724239722 
256, 728471806 
256, 724099662 
256, 728569606 
256, 724265918 
256, 729850958 
256, 724135364 
256, 729870974 
256, 722464936 
256, 728361340 
256, 722803468 
256, 728882940 
256, 723449860 
256, 729614594 
256, 722493970 
256, 730090918 
256, 723759426 
256, 730280534 
256, 722212710 
256, 727453564 
256, 722720858 
256, 728903644 
256, 722695120 
256, 730155780 
256, 722632494 
256, 728610686 
512, 5516431302 
512, 5399094262 
512, 5400660736 
1024, 38603787856 
1024, 38059470734 
1024, 37609220006 
2048, 332977199862 
2048, 334186567228 
2048, 325730248110 
