n, cycles
32, 12670656 
32, 12582330 
32, 12644860 
32, 12587446 
32, 12566014 
32, 12687718 
32, 12628102 
32, 12583744 
32, 12633620 
32, 12628562 
32, 12602558 
32, 12630196 
32, 12634698 
32, 12652722 
32, 12678700 
32, 12654224 
32, 12638442 
32, 12622736 
32, 12622462 
32, 12632574 
32, 12549376 
32, 12683132 
32, 12698394 
32, 12562900 
32, 12573038 
32, 12618630 
32, 12585632 
32, 12623452 
32, 12614346 
32, 12612210 
64, 75361292 
64, 75211180 
64, 75356200 
64, 75474584 
64, 75359028 
64, 75264434 
64, 75498236 
64, 75236996 
64, 75215776 
64, 75301854 
64, 75124522 
64, 75172564 
64, 75113578 
64, 75579026 
64, 75357892 
64, 74978040 
64, 75291252 
64, 75256630 
64, 75627370 
64, 75375340 
64, 75117040 
64, 75736574 
64, 75352546 
64, 75470502 
64, 75285420 
64, 75414338 
64, 75384900 
64, 75427438 
64, 75141486 
64, 75287432 
128, 570187786 
128, 570131946 
128, 569118450 
128, 569555728 
128, 569655858 
128, 569805604 
128, 569770050 
128, 569908022 
128, 570235776 
128, 569682120 
128, 570094942 
128, 569409342 
128, 569887152 
128, 569591428 
128, 569652048 
128, 569417906 
128, 569664352 
128, 569041966 
128, 570090638 
128, 569712626 
128, 569694824 
128, 570226406 
128, 569836968 
128, 569168916 
128, 571149274 
128, 569756448 
128, 569406000 
128, 569972004 
128, 569816470 
128, 569986534 
256, 4667761002 
256, 4664361842 
256, 4659701168 
256, 4663198886 
256, 4665229210 
256, 4662617128 
256, 4667627930 
256, 4659729470 
256, 4666643104 
256, 4664448402 
256, 4666197144 
256, 4667580220 
256, 4661551156 
256, 4661088554 
256, 4664429912 
256, 4671171346 
256, 4666205380 
256, 4665624996 
256, 4662939978 
256, 4669722764 
256, 4664492022 
256, 4664117808 
256, 4666745382 
256, 4664773610 
256, 4664849184 
256, 4663960738 
256, 4665969304 
256, 4664510906 
256, 4661513042 
256, 4663814028 
512, 38421548394 
512, 39014316008 
512, 38770892578 
1024, 302455284894 
1024, 302798123712 
1024, 303147925672 
2048, 2455010571886 
2048, 2467804708252
2048, 2468624114970
