remaining_runtime,build_heap,insert,l2-norm,insert_up,insert_down,shuffle,utility,col_mean,get_knn_inner
589808,2102379,25057446702,6694629058,102878378,1521625809,1873293929,38263568,106152148,121813606
621446,2124943,24987892006,6615301546,102269118,1517889107,1866569246,38065055,106020103,120590690
568597,2081136,25195813316,6693301461,103847975,1523448747,1876054303,38499656,106515806,123658911
659147,2106724,24996134703,6609933935,102684401,1518493219,1867660515,38040231,105770377,119979473
604668,2140623,25475370170,6921284845,104744192,1536757194,1899518547,39095669,107853919,126038113
637274,2130756,26019251164,6965829871,107621184,1539805923,1903532674,38970758,106500930,122489739
565719,2111834,25238311529,6800057622,103641081,1527717661,1886265982,38528950,106765289,124587887
643701,2124555,25281465442,6799186156,104164833,1530089544,1882938508,38996471,106381992,121767139
593265,2162410,25575833038,6672060908,105512903,1524188445,1872541442,38425321,106182405,120829698
607619,2089543,25108174426,6684625738,103461709,1523054499,1871807692,38363348,106073194,119629514
569318,2151860,25177015250,6627377766,102835886,1519911145,1867516047,38302238,106334799,119157752
584131,2191104,26265342343,7027465405,109429155,1544683994,1905485056,38767518,108517395,126258987
616431,2233767,25747256900,6643806051,104699550,1523145001,1869388091,39695229,104711886,121136071
578380,2444108,25593060497,6676542566,105610259,1526193402,1872840283,38814193,105150378,123540698
591247,2103108,26009355667,6815459249,106980458,1531911287,1887551582,38387146,108384707,117132202
565589,2390545,25555461766,6729697208,104161989,1526407172,1877614783,38410445,105521129,128915141
539991,2386399,26002274590,6730742612,105310206,1527114920,1878283850,38342884,105557987,130426840
521291,2129686,26032909150,6812325356,107164645,1532825927,1887429648,38681733,105479730,115941582
615632,2175222,25810144658,6936781336,107215930,1536528167,1900010419,39514912,106281174,126435764
573687,2318975,26092934035,7058889694,108028048,1544708605,1917633532,39301409,107444706,134109855
508079,2083542,26275102223,6721803125,109341907,1531330720,1884776118,38705084,104949940,117207033
576614,2346798,25379499597,6673804004,103745544,1522389760,1872897577,38037606,105541746,124415000
533072,2408507,26730468848,7024211471,109820143,1551482596,1901857984,38738953,107268389,138491559
596448,2075786,26013562515,6690412273,106858555,1525702728,1873012616,38758548,105471363,114408332
598945,2153972,25352851401,6703744729,105004536,1524773257,1872784061,38146312,106021464,124975557
572038,2371243,25827036472,6734198818,106575053,1527496086,1876511987,38585260,105399100,127882373
592347,2091292,25924066898,6696105777,106163109,1525778809,1876296236,38511746,106396440,113882555
570757,2439450,25679991414,6666285689,105383544,1524627000,1874073748,38275046,105883559,129631102
545397,2417958,26808495596,7295332907,110414236,1562299553,1937802061,40226433,109359641,141477072
