remaining_runtime,build_heap,insert,l2-norm,insert_up,insert_down,shuffle,utility,col_mean,get_knn_inner
507045,9007972,34468056621,3956080277,114898271,1587870058,1904614966,44127924,106901803,8891552005
556692,8554579,33584553333,3879944047,112816191,1565170801,1885517229,43441339,105165775,8797590149
530272,9036608,33789320741,3931976287,116720378,1577934751,1893177931,43687262,105685734,8836846565
511634,8981063,33947664259,3918421677,119153808,1583275921,1892100679,44045642,105272834,8832836402
498862,8970964,33866779269,3889951733,113481738,1568372116,1890344219,44979698,105866123,8801917202
505808,9846384,34375559030,3983615782,117533773,1586663723,1907019802,44054677,106066902,8923119547
515816,8880092,33672027525,3882534295,112731935,1565461411,1884468894,43502077,105592403,8795574429
456631,8917998,33812050527,3867801217,117983385,1575898642,1883622533,43327802,105476625,8782491488
554756,8760139,33816732963,3858757695,113606197,1567991501,1881414272,43297952,106141534,8795937853
476690,9038037,34199599135,3890765718,112877251,1569353757,1889862515,43463294,104008377,8883614909
489817,8976363,34059710158,3890026067,115829806,1575204968,1887141813,43400282,105471848,8797509779
518978,9795870,34123896463,3953542749,118210108,1590281134,1898312331,43792060,105921674,8845196258
472410,8800643,33742221418,3874516655,112307094,1563734481,1885608412,43308551,104531981,8790154057
499911,9860351,33760558972,3986899881,114886898,1585691039,1905843228,45116948,108042369,8883465526
541267,8865715,34213536885,3881097554,114598900,1575624455,1886414462,43424922,107011784,8825959054
489220,9091156,34010890504,3902889288,113528455,1572092992,1889668711,43627915,107482566,8818627776
608051,9422840,33957772140,3973251503,116145241,1586040525,1900781689,43950061,106326049,8863802072
495254,8880004,34065203675,3892934600,112837864,1571081128,1884986550,43713979,106345056,8825941506
485171,9069414,34144518311,3879423076,113219996,1568462422,1888286545,43344926,105912388,8843855443
513379,8940416,33819500346,3862719046,114065492,1568477951,1880689750,43210784,104970794,8824756946
505676,8939622,33878400190,3873215357,113007070,1566552754,1883106917,43303659,105182318,8845621582
577383,9177648,33895955988,3918804844,116999120,1576533936,1895670407,43816056,105958033,8824432925
529966,9086463,33880493394,3890548913,114559134,1573708288,1890167785,43511925,107178629,8817968561
474281,8894225,34213157750,3923159600,117901051,1588252498,1888263457,43657632,107062165,8826289233
552934,8895579,33841555824,3875669544,121943128,1578187940,1885300708,43198063,107186148,8807581996
514335,9894211,34306932138,4007921695,116584740,1589629553,1906811908,44204625,107764071,8929994701
539695,8919731,34085896955,3906337099,117712021,1581861758,1888883598,43593431,105459606,8809469047
548279,9047936,33664201338,3883156827,114343382,1584102293,1885338345,43402025,106150376,8824479834
538044,8884704,33955420282,3866461374,121500276,1577610028,1881350262,43252811,106467540,8858169695
