remaining_runtime,build_heap,insert,l2-norm,insert_up,insert_down,shuffle,utility,col_mean,get_knn_inner
478423,2093273,24835390151,6666753129,102006870,1494606430,1869895937,40279077,14809645,118702987
448940,2075692,25739031668,6800970166,106913789,1504056845,1885276824,40790346,12420676,114081400
503616,2227678,25665015055,7100402919,106846935,1526443450,1908893196,41517327,14501831,128168694
436843,2089335,25134127170,6824604896,103975618,1504720266,1882747307,41994091,15086606,120434684
528874,2162140,26615641936,7473756176,112668432,1547844486,1941310230,42181659,15837626,136211779
442107,2072818,24906968701,6730004988,102627223,1495455519,1874305305,40654127,14083392,116979567
465330,2112291,25748064622,7027447728,106927134,1523008290,1905497803,42599709,13781912,119624970
464441,2131784,26088190057,7255368000,109954752,1530496982,1921963258,41713679,14915040,125474909
414730,2408550,25459295508,6766816831,105383929,1499389690,1875239395,40400314,12547451,128107789
465941,2091055,25588583379,6929766375,106374050,1511037671,1890920690,41594991,14132737,122530037
454571,2043846,25090446929,6644564464,103873789,1487940437,1866692182,41394422,14574374,111357495
433782,2138366,24901405190,6712984133,102303185,1494219599,1871828136,40774360,13593741,116076726
494497,2115115,25778859032,7063642330,106679517,1516831636,1916474914,41518783,14388099,120919424
413216,2081675,25642507749,6720378013,107224865,1494911955,1877659774,41431164,13012511,116955293
483703,2168489,25391167526,6997898045,105228331,1514161040,1899369333,41233730,14362715,123560891
478890,2078274,25628080670,6694933894,105872468,1499980821,1873322198,40558635,13112511,120119481
479291,2097843,25305601098,6871455155,105415898,1507217745,1889348592,41403149,14286651,118991638
445665,2424179,25281062470,6831901434,103843347,1502575771,1884777571,40546793,13982832,121277392
487075,2083667,25468696385,6747794443,105929529,1498753894,1875191667,40634484,13357995,114127687
451056,2094631,25524661517,6949226305,106516234,1512173067,1894774297,40979717,15023628,119423722
439354,2138598,25730089277,7035146354,106848051,1519340924,1897879889,40975945,14791561,122892041
480883,2083663,25611753236,6821086197,106156195,1504970593,1886680367,40887294,14474512,115531463
469821,2143396,26125839932,7307425847,110872290,1535606985,1925936332,42543699,15361404,127578799
459435,2060815,25202084159,6692845635,103619315,1491624334,1874851804,41148830,13891014,111983194
452438,2067596,25214217749,6667663769,104076646,1493087653,1869217220,40335646,14291402,110152985
427274,2126649,25478617588,6894473194,106368195,1508573643,1891747279,40779726,15220098,120814846
415354,2054609,25147653886,6745587871,103609846,1498340108,1877346831,40517428,14864669,118010701
416051,2056845,25195879444,6716755716,104384825,1495622308,1871826304,40468664,13995526,113548941
438074,2385873,25599927128,6827189231,105794115,1505557335,1880031967,40634799,14358217,125917239
