n, cycles
32, 75404
32, 71500
32, 69960
32, 70112
32, 68970
32, 69674
32, 68422
32, 70040
32, 68544
32, 67614
32, 69828
32, 69200
32, 69666
32, 67602
32, 68538
32, 68582
32, 70410
32, 70890
32, 69214
32, 69672
32, 68714
32, 69338
32, 68924
32, 70614
32, 70882
32, 70746
32, 71068
32, 68864
32, 68210
32, 69634
64, 364548
64, 349312
64, 346552
64, 349778
64, 346262
64, 349264
64, 348236
64, 346624
64, 347196
64, 347538
64, 345996
64, 348474
64, 346472
64, 343666
64, 347184
64, 347540
64, 349420
64, 345984
64, 347094
64, 348556
64, 346296
64, 346752
64, 343500
64, 347432
64, 348028
64, 348090
64, 341748
64, 344850
64, 345442
64, 346612
128, 1609476
128, 1553408
128, 1560546
128, 1557122
128, 1553884
128, 1554972
128, 1543340
128, 1538698
128, 1542654
128, 1547052
128, 1539934
128, 1536064
128, 1543104
128, 1542618
128, 1538898
128, 1539866
128, 1538572
128, 1535948
128, 1558302
128, 1557386
128, 1543788
128, 1546798
128, 1550174
128, 1549418
128, 1553160
128, 1551868
128, 1553790
128, 1554390
128, 1536514
128, 1548340
256, 8456730
256, 8255266
256, 8224848
256, 8262896
256, 8243216
256, 8342596
256, 8223746
256, 8310344
256, 8303400
256, 8245824
256, 8312728
256, 8220714
256, 8228058
256, 8225882
256, 8251670
256, 8270142
256, 8287852
256, 8272382
256, 8232272
256, 8228426
256, 8252072
256, 8318368
256, 8272932
256, 8306052
256, 8301312
256, 8244586
256, 8248772
256, 8247802
256, 8245686
256, 8275092
512, 45521194
512, 44513828
512, 45092758
1024, 266900686
1024, 262636610
1024, 262720094
2048, 1785221104
2048, 1764481106
2048, 1761870000
4096, 13720855878
4096, 13650870434
4096, 13670171760
8192, 105679195796
8192, 105391096792
8192, 105263853162
