n, cycles
32, 6951288 
32, 6939774 
32, 6933624 
32, 6856734 
32, 6839852 
32, 6921132 
32, 6887718 
32, 6935432 
32, 6885168 
32, 6897734 
32, 6981510 
32, 6889370 
32, 6912312 
32, 6901402 
32, 6990704 
32, 6934558 
32, 6901636 
32, 6909334 
32, 6937882 
32, 6948144 
32, 6871326 
32, 6934238 
32, 6928924 
32, 6862310 
32, 6950840 
32, 6975540 
32, 6918746 
32, 6860686 
32, 6922830 
32, 6966356 
64, 36712720 
64, 36632316 
64, 36745438 
64, 36899016 
64, 36701066 
64, 36587106 
64, 36610034 
64, 36975500 
64, 36681110 
64, 36550520 
64, 36608740 
64, 36519966 
64, 36602434 
64, 36633178 
64, 36534492 
64, 36505292 
64, 36780376 
64, 36529350 
64, 36594554 
64, 36577942 
64, 36457494 
64, 36674716 
64, 36447098 
64, 36803806 
64, 36639426 
64, 36717108 
64, 36717370 
64, 36776932 
64, 36614828 
64, 36649662 
128, 243128188 
128, 241891196 
128, 243149406 
128, 242113108 
128, 242900706 
128, 242221142 
128, 243063288 
128, 242221922 
128, 243042572 
128, 242260504 
128, 242343212 
128, 241824350 
128, 243138146 
128, 241930598 
128, 242768564 
128, 241847962 
128, 242813174 
128, 241848084 
128, 242793780 
128, 242123928 
128, 242860706 
128, 242297034 
128, 242875706 
128, 242062062 
128, 243018984 
128, 242180900 
128, 242671392 
128, 241967542 
128, 243040394 
128, 242580238 
256, 1775087180 
256, 1774265544 
256, 1774182868 
256, 1774067034 
256, 1774727598 
256, 1775553518 
256, 1777273046 
256, 1775509518 
256, 1776808084 
256, 1777586886 
256, 1774159372 
256, 1796819010 
256, 1843820530 
256, 1775098748 
256, 1775299388 
256, 1777046234 
256, 1776531370 
256, 1775951846 
256, 1777526888 
256, 1778150902 
256, 1777076718 
256, 1777917296 
256, 1776695002 
256, 1777441002 
256, 1777219008 
256, 1776632786 
256, 1777343968 
256, 1782773966 
256, 1775735756 
256, 1776911738 
512, 14223807624 
512, 13899304910 
512, 13877550902 
1024, 106606494570 
1024, 106736493940 
1024, 110632572122 
2048, 902275134246 
2048, 893832982302 
2048, 889477559048 
