n, cycles
32, 12024420 
32, 11720280 
32, 11802980 
32, 11865974 
32, 11860568 
32, 11951730 
32, 11963372 
32, 11875628 
32, 12065674 
32, 11932182 
32, 11958978 
32, 11962120 
32, 11944870 
32, 11963398 
32, 11897996 
32, 11912260 
32, 11797310 
32, 11812882 
32, 11938732 
32, 11889804 
32, 11830726 
32, 11875334 
32, 11905768 
32, 11905864 
32, 11992570 
32, 11752254 
32, 11808336 
32, 11957972 
32, 11928756 
32, 11831650 
64, 58236176 
64, 58076050 
64, 58242370 
64, 58257506 
64, 58291900 
64, 58117944 
64, 58058080 
64, 58280752 
64, 58087454 
64, 58368834 
64, 57962014 
64, 58135764 
64, 58032784 
64, 58357808 
64, 58231730 
64, 58037466 
64, 58236584 
64, 58052250 
64, 58174502 
64, 58140910 
64, 57888844 
64, 58606180 
64, 58073938 
64, 58047118 
64, 58098342 
64, 58453518 
64, 58155744 
64, 59441762 
64, 58030576 
64, 58255546 
128, 321302182 
128, 320539194 
128, 320844890 
128, 320312064 
128, 320848308 
128, 320892254 
128, 321511372 
128, 320902266 
128, 321661276 
128, 320417250 
128, 321148212 
128, 320248254 
128, 321318286 
128, 320417122 
128, 321379094 
128, 320079130 
128, 321244472 
128, 320369064 
128, 321493364 
128, 320543240 
128, 321233028 
128, 320712908 
128, 321384950 
128, 320533192 
128, 321407560 
128, 320338336 
128, 322268856 
128, 320670522 
128, 321385600 
128, 320315718 
256, 2014635926 
256, 2026147894 
256, 2009616796 
256, 2020389862 
256, 2015617522 
256, 2020492028 
256, 2012538212 
256, 2020237324 
256, 2013960780 
256, 2021445836 
256, 2012795096 
256, 2018410980 
256, 2010784700 
256, 2017817926 
256, 2012819240 
256, 2046641806 
256, 2013640642 
256, 2020277364 
256, 2013356166 
256, 2021711084 
256, 2011008660 
256, 2021788508 
256, 2012400190 
256, 2022689784 
256, 2016084494 
256, 2021694396 
256, 2014583752 
256, 2022625702 
256, 2013787546 
256, 2018750792 
512, 14244074686 
512, 14213757034 
512, 14237680000 
1024, 104940455014 
1024, 105009874768 
1024, 104883971178 
2048, 847703650254 
2048, 858687532394 
2048, 856948394128 
