n, cycles
32, 11858474 
32, 11716328 
32, 11751472 
32, 11881994 
32, 11759226 
32, 11788294 
32, 11816196 
32, 11950270 
32, 11726006 
32, 11870168 
32, 11827978 
32, 11775024 
32, 11804566 
32, 11813874 
32, 11959972 
32, 11823404 
32, 11890980 
32, 11869346 
32, 11919852 
32, 11820692 
32, 11888904 
32, 11867366 
32, 11861256 
32, 11681796 
32, 11648462 
32, 11757226 
32, 11891382 
32, 11677104 
32, 11715220 
32, 11878650 
64, 59331320 
64, 58195308 
64, 59435002 
64, 59075960 
64, 59493452 
64, 59888670 
64, 59529706 
64, 58334354 
64, 59515324 
64, 58469492 
64, 59251892 
64, 58399832 
64, 59380598 
64, 59128096 
64, 60062740 
64, 58434512 
64, 58949108 
64, 58006710 
64, 59343562 
64, 57918586 
64, 59126818 
64, 58538172 
64, 59992086 
64, 58647220 
64, 59330108 
64, 59114158 
64, 59669056 
64, 58999158 
64, 59295724 
64, 58856888 
128, 322830322 
128, 323304774 
128, 322049556 
128, 321763436 
128, 321694588 
128, 322425434 
128, 322652128 
128, 321495626 
128, 322110362 
128, 322319644 
128, 322123130 
128, 322288524 
128, 323220218 
128, 322246808 
128, 322722098 
128, 321741516 
128, 322321296 
128, 320556816 
128, 322880138 
128, 323415518 
128, 322622366 
128, 322394840 
128, 321898504 
128, 321361370 
128, 323329074 
128, 322365292 
128, 322480052 
128, 323113066 
128, 322742872 
128, 322089388 
256, 1989504040 
256, 1999137372 
256, 1987017132 
256, 1991065520 
256, 1990139288 
256, 1992727798 
256, 1995363662 
256, 1990490044 
256, 1988821020 
256, 1993092230 
256, 1987719738 
256, 1992375300 
256, 1994429970 
256, 1993812126 
256, 1987982936 
256, 1996715040 
256, 1991700668 
256, 2002759012 
256, 1988304644 
256, 1995972174 
256, 1988549854 
256, 1992241396 
256, 1992067392 
256, 1996986788 
256, 1989502018 
256, 1997210984 
256, 1989063636 
256, 1996583292 
256, 1992316142 
256, 1994669812 
512, 18110810624 
512, 18090030154 
512, 18129873676 
1024, 103940392014 
1024, 103862595006 
1024, 103935683202 
2048, 827493410370 
2048, 828509964674 
2048, 826083048102 
