n, cycles
32, 243550
32, 237826
32, 237786
32, 232704
32, 234140
32, 231648
32, 240520
32, 233778
32, 234996
32, 233518
32, 231658
32, 224874
32, 233466
32, 231568
32, 233736
32, 234820
32, 235872
32, 229190
32, 235804
32, 232728
32, 232216
32, 234554
32, 234684
32, 235822
32, 236096
32, 234990
32, 232798
32, 228946
32, 232658
32, 232116
64, 1497734
64, 1482268
64, 1476240
64, 1471960
64, 1470302
64, 1473480
64, 1468428
64, 1469618
64, 1467450
64, 1471932
64, 1470774
64, 1476842
64, 1467304
64, 1465298
64, 1463634
64, 1464152
64, 1463720
64, 1465554
64, 1465098
64, 1468750
64, 1480384
64, 1475012
64, 1481332
64, 1479266
64, 1479588
64, 1478384
64, 1480126
64, 1481434
64, 1487428
64, 1468816
128, 9334044
128, 9311650
128, 9297072
128, 9265716
128, 9268238
128, 9269980
128, 9286104
128, 9279964
128, 9300108
128, 9282840
128, 9258770
128, 9264804
128, 9262650
128, 9268124
128, 9273608
128, 9288232
128, 9267712
128, 9249916
128, 9282226
128, 9289368
128, 9285330
128, 9288138
128, 9270042
128, 9250152
128, 9280904
128, 9266654
128, 9272066
128, 9315872
128, 9276986
128, 9297856
256, 68044588
256, 67822446
256, 67822194
256, 67857488
256, 67822700
256, 67823058
256, 67804846
256, 67868322
256, 67842694
256, 67903860
256, 67937798
256, 67868150
256, 67925824
256, 67975642
256, 67913520
256, 67891538
256, 67869638
256, 67885386
256, 67930560
256, 67877998
256, 67916604
256, 67815858
256, 68024230
256, 67828466
256, 67932522
256, 67874332
256, 67813378
256, 67825666
256, 67886260
256, 67890704
512, 501011170
512, 499620082
512, 499825890
1024, 3810993032
1024, 3807725450
1024, 3806348670
2048, 30366970520
2048, 30318529678
2048, 30331533618
4096, 282166168236
4096, 281864101356
4096, 281937612016
8192, 2383725421820
8192, 2382751285054
8192, 2383054215238
