n, cycles
32, 137036
32, 134236
32, 133580
32, 133518
32, 133610
32, 132262
32, 131428
32, 133476
32, 133776
32, 132644
32, 133910
32, 131980
32, 132480
32, 133164
32, 131950
32, 131592
32, 130778
32, 135134
32, 130976
32, 132060
32, 131064
32, 132132
32, 132898
32, 132840
32, 132678
32, 130664
32, 132778
32, 131438
32, 133560
32, 132722
64, 993108
64, 983486
64, 977436
64, 978888
64, 976802
64, 976812
64, 983118
64, 974700
64, 972276
64, 974552
64, 971246
64, 970822
64, 969906
64, 976594
64, 974602
64, 976514
64, 971636
64, 973736
64, 975980
64, 978928
64, 975760
64, 977150
64, 974904
64, 978408
64, 975490
64, 981220
64, 977752
64, 981484
64, 978816
64, 979278
128, 7245240
128, 7161522
128, 7151206
128, 7164746
128, 7140874
128, 7128156
128, 7137518
128, 7142394
128, 7159028
128, 7136810
128, 7141632
128, 7124654
128, 7137144
128, 7127530
128, 7145606
128, 7147478
128, 7134924
128, 7137306
128, 7134132
128, 7144160
128, 7133298
128, 7161234
128, 7132548
128, 7140308
128, 7138332
128, 7140610
128, 7154266
128, 7136426
128, 7146112
128, 7137188
256, 63827880
256, 63722532
256, 63683934
256, 63766104
256, 63711674
256, 63693158
256, 63613446
256, 63666942
256, 64694110
256, 63807700
256, 63658764
256, 63632456
256, 63669980
256, 63910384
256, 63643134
256, 63693058
256, 63660554
256, 63759036
256, 63682768
256, 63685370
256, 63665048
256, 63665984
256, 63604200
256, 63644904
256, 63870390
256, 63806040
256, 63763784
256, 63687156
256, 63643410
256, 63707264
512, 526356732
512, 525920168
512, 525858640
1024, 4276025212
1024, 4273521456
1024, 4272736136
2048, 34410225966
2048, 34398903476
2048, 34397236034
4096, 276269496118
4096, 276305164220
4096, 276294703270
8192, 2212420368062
8192, 2218016090776
8192, 2209866758230
