n, cycles
32, 36027310 
32, 36088836 
32, 35916076 
32, 36054936 
32, 36054290 
32, 36249694 
32, 36133824 
32, 35876710 
32, 36024380 
32, 35973974 
32, 35999710 
32, 36019120 
32, 35783862 
32, 35790224 
32, 35842904 
32, 35787900 
32, 36069534 
32, 35747316 
32, 35788170 
32, 35812030 
32, 36105232 
32, 35987982 
32, 35834140 
32, 36037044 
32, 35850242 
32, 35995576 
32, 36063978 
32, 35772932 
32, 35943848 
32, 35781980 
64, 276326542 
64, 276632090 
64, 278382286 
64, 277721006 
64, 276488366 
64, 276664378 
64, 278312062 
64, 279785114 
64, 276156504 
64, 278765118 
64, 279336022 
64, 277777770 
64, 277475052 
64, 276320868 
64, 276659712 
64, 276256036 
64, 276783148 
64, 278213572 
64, 277272376 
64, 277035436 
64, 277447620 
64, 277231862 
64, 277355876 
64, 277141020 
64, 276642114 
64, 276836900 
64, 276800180 
64, 277248270 
64, 276831630 
64, 278064152 
128, 2159628198 
128, 2140228772 
128, 2138196402 
128, 2138015000 
128, 2143781066 
128, 2139213550 
128, 2135333174 
128, 2137215904 
128, 2137798328 
128, 2138245248 
128, 2138456736 
128, 2135605508 
128, 2141649934 
128, 2138628026 
128, 2141080394 
128, 2135651872 
128, 2136681896 
128, 2133866026 
128, 2136307696 
128, 2138092918 
128, 2137044172 
128, 2135533096 
128, 2136244692 
128, 2137638500 
128, 2136762202 
128, 2137721844 
128, 2140138118 
128, 2135946228 
128, 2138675706 
128, 2139210258 
256, 16474596922 
256, 16468906710 
256, 16438379256 
256, 16473320152 
256, 16459517068 
256, 16449233646 
256, 16505299270 
256, 16456701126 
256, 16456040134 
256, 16455650880 
256, 16457745980 
256, 16468722668 
256, 16483111568 
256, 16461539326 
256, 16448960114 
256, 16440678694 
256, 16437652932 
256, 16448312986 
256, 16445966232 
256, 16451063942 
256, 16446053070 
256, 16444730518 
256, 16446812926 
256, 16446449472 
256, 16437510704 
256, 16447206500 
256, 16442289828 
256, 16449642276 
256, 16446919226 
256, 16444238446 
512, 129546443146 
512, 129565791172 
512, 129787228772 
1024, 1019720194970 
1024, 1026035304614 
1024, 1041108062180 
2048, 8112846019324 
2048, 8093695618444 
2048, 8060575043270 
