n, cycles
32, 38164206 
32, 38781916 
32, 38330796 
32, 38229744 
32, 37860598 
32, 37690494 
32, 37561714 
32, 37553024 
32, 38577692 
32, 38178310 
32, 37986500 
32, 38182042 
32, 38093334 
32, 38011974 
32, 40046676 
32, 38036740 
32, 38202434 
32, 38028020 
32, 37964872 
32, 38108740 
32, 38540690 
32, 38381214 
32, 38362910 
32, 40408248 
32, 39384536 
32, 38352964 
32, 38908070 
32, 39761552 
32, 39343826 
32, 37342982 
64, 283895906 
64, 282973242 
64, 284067694 
64, 283420072 
64, 282908350 
64, 283551222 
64, 283386484 
64, 283142192 
64, 282263138 
64, 283249420 
64, 283790704 
64, 283506370 
64, 283816260 
64, 282570152 
64, 282859636 
64, 283426716 
64, 283367758 
64, 283769108 
64, 283032116 
64, 286773426 
64, 284515446 
64, 283585460 
64, 283737852 
64, 284245836 
64, 283671306 
64, 283921174 
64, 283756898 
64, 283792970 
64, 283681092 
64, 285504002 
128, 2199586910 
128, 2164112068 
128, 2168036596 
128, 2166972028 
128, 2163130630 
128, 2166069546 
128, 2167393570 
128, 2181326476 
128, 2192550994 
128, 2167935276 
128, 2167537896 
128, 2166724956 
128, 2162151278 
128, 2163955270 
128, 2168721114 
128, 2173093438 
128, 2179800952 
128, 2174100264 
128, 2165985494 
128, 2168471696 
128, 2168000400 
128, 2171127906 
128, 2169981654 
128, 2179718634 
128, 2176026918 
128, 2184715558 
128, 2179753366 
128, 2172769328 
128, 2166400058 
128, 2172383318 
256, 16783615434 
256, 16754282892 
256, 16708665036 
256, 16737373764 
256, 16731851238 
256, 16667006104 
256, 16667245384 
256, 16679901312 
256, 16701566916 
256, 16687923414 
256, 16689116898 
256, 16672788844 
256, 16707141752 
256, 16695255278 
256, 16661996752 
256, 16648133834 
256, 16638846114 
256, 16621534688 
256, 16649580420 
256, 16706967818 
256, 16770297152 
256, 16716639818 
256, 16715605666 
256, 16644769038 
256, 16667469822 
256, 16666939998 
256, 16726578136 
256, 16720515048 
256, 16679276000 
256, 16664364314 
512, 131023593294 
512, 131049504436 
512, 131566197238 
1024, 1040835975154 
1024, 1032318410054 
1024, 1019716710140 
2048, 8091220960492 
2048, 8082649106494 
2048, 8076142781066 
