n, cycles
32, 199810
32, 194832
32, 191852
32, 193900
32, 190858
32, 192718
32, 189912
32, 192364
32, 191068
32, 188960
32, 191910
32, 190688
32, 190062
32, 190720
32, 191664
32, 190218
32, 191638
32, 193368
32, 189116
32, 192092
32, 192630
32, 190622
32, 190878
32, 190492
32, 189168
32, 190858
32, 191766
32, 189680
32, 189526
32, 191144
64, 1885966
64, 1874366
64, 1879948
64, 1882244
64, 1871046
64, 1870366
64, 1872014
64, 1870562
64, 1865374
64, 1866506
64, 1876544
64, 1869934
64, 1870712
64, 1868582
64, 1887148
64, 1916856
64, 1875922
64, 1959634
64, 1877712
64, 1879488
64, 1879348
64, 1896100
64, 2220454
64, 2735884
64, 2268884
64, 2265314
64, 2253846
64, 1872226
64, 1873554
64, 1884648
128, 13696808
128, 13592024
128, 13614488
128, 13598910
128, 13585454
128, 13593334
128, 13608980
128, 13598832
128, 13599096
128, 13639882
128, 13595490
128, 13592766
128, 13622618
128, 13603766
128, 13603260
128, 13629394
128, 13597100
128, 13603382
128, 13608920
128, 13604226
128, 13596514
128, 13606354
128, 13598324
128, 13601342
128, 13598534
128, 13622790
128, 13607140
128, 13615294
128, 13630910
128, 13591290
256, 108399892
256, 108488548
256, 108866364
256, 108693048
256, 109429944
256, 108854598
256, 108468118
256, 108081726
256, 108469194
256, 108956468
256, 108647330
256, 110650006
256, 109291246
256, 108512132
256, 108138804
256, 108133048
256, 108714916
256, 108536562
256, 108924380
256, 108468552
256, 108561704
256, 109146498
256, 112250964
256, 108142408
256, 108555938
256, 108540232
256, 108479718
256, 108627254
256, 108900736
256, 108077452
512, 844395376
512, 843658958
512, 843605082
1024, 6736218072
1024, 6726732232
1024, 6726430268
2048, 54091215462
2048, 54450017226
2048, 54316230086
4096, 477308138280
4096, 476737269614
4096, 479047872350
8192, 4032231766676
8192, 4031709320352
8192, 4030292897160
