n, cycles
32, 197236
32, 193456
32, 206538
32, 188510
32, 190202
32, 192980
32, 191650
32, 194218
32, 192308
32, 191096
32, 192388
32, 190910
32, 193256
32, 192114
32, 192604
32, 191406
32, 191608
32, 216390
32, 189612
32, 190862
32, 188870
32, 190722
32, 191138
32, 191232
32, 190758
32, 192624
32, 191616
32, 190542
32, 191164
32, 189956
64, 1875230
64, 1862716
64, 1862988
64, 1860498
64, 1867206
64, 1856536
64, 1861012
64, 1861820
64, 1857716
64, 1855998
64, 1857426
64, 1862092
64, 1857116
64, 1855894
64, 1856814
64, 1861074
64, 1857408
64, 1857728
64, 1858042
64, 1860904
64, 1859300
64, 1854170
64, 1857310
64, 1857318
64, 1857814
64, 1857218
64, 1854758
64, 1854140
64, 1856154
64, 1853224
128, 13984142
128, 13912178
128, 13907660
128, 13920872
128, 13892338
128, 13888700
128, 13907218
128, 13884394
128, 13849814
128, 13903466
128, 13944834
128, 13879288
128, 13889236
128, 13914396
128, 13910072
128, 13875202
128, 13926712
128, 13898380
128, 13871432
128, 13908616
128, 13888054
128, 13996932
128, 13932458
128, 13890572
128, 13895246
128, 13903280
128, 13897312
128, 13874272
128, 13900872
128, 13890764
256, 108401382
256, 108742906
256, 108737602
256, 108652926
256, 108702966
256, 108646886
256, 108976898
256, 108386428
256, 108860992
256, 109097816
256, 108703990
256, 108592262
256, 109089496
256, 108692296
256, 108217816
256, 108670164
256, 108630674
256, 108708834
256, 109008920
256, 109245122
256, 108690214
256, 108733370
256, 108176540
256, 108757720
256, 108605376
256, 109066790
256, 108712512
256, 108786728
256, 109158390
256, 108159974
512, 843678378
512, 842263018
512, 842357958
1024, 6705390694
1024, 6693078498
1024, 6705173210
2048, 54699627474
2048, 54487845450
2048, 54428768554
4096, 481016468014
4096, 481070337198
4096, 481240884780
8192, 3934025689924
8192, 3935753047054
8192, 3924541927560
